pid,isbn,large,small
11100820206,9789864635320,True,True
11100820207,9789864631476,True,True
11100820208,9789864635504,True,True
11100820209,9789864634866,True,True
11100820210,9789864635726,True,True
11100820211,9789864634460,True,True
11100820212,9789864634804,True,True
11100820213,9789864635764,True,True
11100820214,9789865601096,True,True
11100820215,9789865601133,True,True
11100820216,9789865601430,True,True
11100820217,9789865601355,True,True
11100820218,9789865601072,True,True
11100820219,9789865604967,True,True
11100820220,9789865601164,True,True
11100820221,11100820221,True,True
11100820222,9789571370682,True,True
11100820223,9789571369723,True,True
11100820224,9789571370637,True,True
11100820225,9789863811572,True,True
11100820226,9789863811534,True,True
11100820227,9789863018070,True,True
11100820228,11100820228,True,True
11100820229,9789867283887,True,True
11100820230,9789867283894,True,True
11100820231,9789750220081,True,True
11100820232,9789869404655,True,True
11100820233,9789869493802,True,True
11100820234,9789869468794,True,True
11100820235,9789863811565,True,True
11100820236,9789863811558,True,True
11100820237,9789869465717,True,True
11100820238,9789864022038,True,True
11100820239,9789869467698,True,True
11100820240,9789869405249,True,True
11100820241,9789869515801,True,True
11100820242,9789864371327,True,True
11100820243,9789869354349,True,True
11100820244,9789869354387,True,True
11100820245,9789869354394,True,True
11100820246,9789866292910,True,True
11100820247,9789863017943,True,True
11100820248,9789571370651,True,True
11100820249,9789571370675,True,True
11100820250,11100820250,True,True
11100820251,9789864562879,True,True
11100820252,9789571370484,True,True
11100820253,9789571370620,True,True
11100820254,9789571370590,True,True
11100820255,9789862956953,True,True
11100820256,9789862957028,True,True
11100820257,9789862957011,True,True
11100820258,9789869503037,True,True
11100820259,9789869472388,True,True
11100820260,9789869503006,True,True
11100820261,9789863772767,True,True
11100820262,9789863772774,True,True
11100820263,9789865668112,True,True
11100820264,9789863772729,True,True
11100820265,9789864432684,True,True
11100820266,9789864432790,True,True
11100820267,9789864432653,True,True
11100820268,9789864432837,True,True
11100820269,9789864432769,True,True
11100820270,9789864432851,True,True
11100820271,9789864432660,True,True
11100820272,9789863361640,True,True
11100820273,9789863361848,True,True
